Contig,Student,Aligner,DE
  contig#148,Annika,salmon,limma-voom
 contig#1368,Annika,salmon,limma-voom
  contig#157,Annika,salmon,limma-voom
 contig#5573,Annika,salmon,limma-voom
  contig#610,Annika,salmon,limma-voom
  contig#359,Annika,salmon,limma-voom
   contig#19,Annika,salmon,limma-voom
 contig#1789,Annika,salmon,limma-voom
 contig#3156,Annika,salmon,limma-voom
 contig#5502,Annika,salmon,limma-voom
 contig#4738,Annika,salmon,limma-voom
 contig#1921,Annika,salmon,limma-voom
  contig#780,Annika,salmon,limma-voom
 contig#1845,Annika,salmon,limma-voom
 contig#1089,Annika,salmon,limma-voom
 contig#2656,Annika,salmon,limma-voom
 contig#2672,Annika,salmon,limma-voom
 contig#1360,Annika,salmon,limma-voom
 contig#2595,Annika,salmon,limma-voom
 contig#2418,Annika,salmon,limma-voom
contig#18830,Bethany,bowtie2,DESeq2
contig#30258,Bethany,bowtie2,DESeq2
contig#11186,Bethany,bowtie2,DESeq2
contig#38785,Bethany,bowtie2,DESeq2
contig#23665,Bethany,bowtie2,DESeq2
contig#9563,Bethany,bowtie2,DESeq2
contig#24502,Bethany,bowtie2,DESeq2
contig#46631,Bethany,bowtie2,DESeq2
contig#23350,Bethany,bowtie2,DESeq2
contig#24428,Bethany,bowtie2,DESeq2
contig#30197,Bethany,bowtie2,DESeq2
contig#7760,Bethany,bowtie2,DESeq2
contig#22638,Bethany,bowtie2,DESeq2
contig#47100,Bethany,bowtie2,DESeq2
contig#24659,Bethany,bowtie2,DESeq2
contig#29424,Bethany,bowtie2,DESeq2
contig#18028,Bethany,bowtie2,DESeq2
contig#9231,Bethany,bowtie2,DESeq2
contig#36748,Bethany,bowtie2,DESeq2
contig#10302,Bethany,bowtie2,DESeq2
contig#18830,Cory_QLF,bowtie2,EdgeR
contig#30258,Cory_QLF,bowtie2,EdgeR
contig#23350,Cory_QLF,bowtie2,EdgeR
contig#47100,Cory_QLF,bowtie2,EdgeR
contig#22638,Cory_QLF,bowtie2,EdgeR
contig#29424,Cory_QLF,bowtie2,EdgeR
contig#50069,Cory_QLF,bowtie2,EdgeR
contig#11186,Cory_QLF,bowtie2,EdgeR
contig#24428,Cory_QLF,bowtie2,EdgeR
contig#5533,Cory_QLF,bowtie2,EdgeR
contig#23665,Cory_QLF,bowtie2,EdgeR
contig#20746,Cory_QLF,bowtie2,EdgeR
contig#37085,Cory_QLF,bowtie2,EdgeR
contig#10302,Cory_QLF,bowtie2,EdgeR
contig#9563,Cory_QLF,bowtie2,EdgeR
contig#36748,Cory_QLF,bowtie2,EdgeR
contig#32563,Cory_QLF,bowtie2,EdgeR
contig#30197,Cory_QLF,bowtie2,EdgeR
contig#24502,Cory_QLF,bowtie2,EdgeR
contig#27366,Cory_QLF,bowtie2,EdgeR
contig#18830,Cory_ET,bowtie2,EdgeR
contig#30258,Cory_ET,bowtie2,EdgeR
contig#23350,Cory_ET,bowtie2,EdgeR
contig#47100,Cory_ET,bowtie2,EdgeR
contig#11186,Cory_ET,bowtie2,EdgeR
contig#29424,Cory_ET,bowtie2,EdgeR
contig#22638,Cory_ET,bowtie2,EdgeR
contig#50069,Cory_ET,bowtie2,EdgeR
contig#24428,Cory_ET,bowtie2,EdgeR
contig#10302,Cory_ET,bowtie2,EdgeR
contig#23665,Cory_ET,bowtie2,EdgeR
contig#24502,Cory_ET,bowtie2,EdgeR
contig#5533,Cory_ET,bowtie2,EdgeR
contig#9563,Cory_ET,bowtie2,EdgeR
contig#36748,Cory_ET,bowtie2,EdgeR
contig#45384,Cory_ET,bowtie2,EdgeR
contig#37085,Cory_ET,bowtie2,EdgeR
contig#40009,Cory_ET,bowtie2,EdgeR
contig#27366,Cory_ET,bowtie2,EdgeR
contig#24659,Cory_ET,bowtie2,EdgeR
contig#30258,Cynthia,BWA,EdgeR
contig#18830,Cynthia,BWA,EdgeR
contig#23006,Cynthia,BWA,EdgeR
contig#23350,Cynthia,BWA,EdgeR
contig#11186,Cynthia,BWA,EdgeR
contig#22638,Cynthia,BWA,EdgeR
contig#26623,Cynthia,BWA,EdgeR
contig#47100,Cynthia,BWA,EdgeR
contig#29424,Cynthia,BWA,EdgeR
contig#24502,Cynthia,BWA,EdgeR
contig#10302,Cynthia,BWA,EdgeR
contig#48183,Cynthia,BWA,EdgeR
contig#24428,Cynthia,BWA,EdgeR
contig#23665,Cynthia,BWA,EdgeR
contig#36748,Cynthia,BWA,EdgeR
contig#42921,Cynthia,BWA,EdgeR
contig#51283,Cynthia,BWA,EdgeR
contig#56938,Cynthia,BWA,EdgeR
contig#5533,Cynthia,BWA,EdgeR
contig#9563,Cynthia,BWA,EdgeR
contig#18830,David,BWA,DESeq2
contig#30258,David,BWA,DESeq2
contig#11186,David,BWA,DESeq2
contig#38785,David,BWA,DESeq2
contig#22638,David,BWA,DESeq2
contig#23665,David,BWA,DESeq2
contig#24428,David,BWA,DESeq2
contig#24502,David,BWA,DESeq2
contig#23350,David,BWA,DESeq2
contig#9231,David,BWA,DESeq2
contig#9563,David,BWA,DESeq2
contig#36748,David,BWA,DESeq2
contig#47100,David,BWA,DESeq2
contig#56938,David,BWA,DESeq2
contig#46631,David,BWA,DESeq2
contig#29424,David,BWA,DESeq2
contig#10302,David,BWA,DESeq2
contig#24659,David,BWA,DESeq2
contig#52412,David,BWA,DESeq2
contig#42921,David,BWA,DESeq2
contig#30258,Emilie,kallisto,DESeq2
contig#18830,Emilie,kallisto,DESeq2
contig#23665,Emilie,kallisto,DESeq2
contig#46631,Emilie,kallisto,DESeq2
contig#9231,Emilie,kallisto,DESeq2
contig#11186,Emilie,kallisto,DESeq2
contig#23350,Emilie,kallisto,DESeq2
contig#33318,Emilie,kallisto,DESeq2
contig#29424,Emilie,kallisto,DESeq2
contig#19484,Emilie,kallisto,DESeq2
contig#22638,Emilie,kallisto,DESeq2
contig#10643,Emilie,kallisto,DESeq2
contig#38785,Emilie,kallisto,DESeq2
contig#5533,Emilie,kallisto,DESeq2
contig#9563,Emilie,kallisto,DESeq2
contig#10302,Emilie,kallisto,DESeq2
contig#20842,Emilie,kallisto,DESeq2
contig#40830,Emilie,kallisto,DESeq2
contig#48183,Emilie,kallisto,DESeq2
contig#48938,Emilie,kallisto,DESeq2
contig#18830,Noah,kallisto,EdgeR
contig#30258,Noah,kallisto,EdgeR
contig#20794,Noah,kallisto,EdgeR
contig#23350,Noah,kallisto,EdgeR
contig#22638,Noah,kallisto,EdgeR
contig#55142,Noah,kallisto,EdgeR
contig#16893,Noah,kallisto,EdgeR
contig#29424,Noah,kallisto,EdgeR
contig#47100,Noah,kallisto,EdgeR
contig#24428,Noah,kallisto,EdgeR
contig#18310,Noah,kallisto,EdgeR
contig#28672,Noah,kallisto,EdgeR
contig#31366,Noah,kallisto,EdgeR
contig#37085,Noah,kallisto,EdgeR
contig#23665,Noah,kallisto,EdgeR
contig#50069,Noah,kallisto,EdgeR
contig#24502,Noah,kallisto,EdgeR
contig#24446,Noah,kallisto,EdgeR
contig#48938,Noah,kallisto,EdgeR
contig#52786,Noah,kallisto,EdgeR
contig#55142,Irene,kallisto,limma-voom
contig#23350,Irene,kallisto,limma-voom
contig#11684,Irene,kallisto,limma-voom
contig#25432,Irene,kallisto,limma-voom
contig#31366,Irene,kallisto,limma-voom
contig#52786,Irene,kallisto,limma-voom
contig#13971,Irene,kallisto,limma-voom
contig#13168,Irene,kallisto,limma-voom
contig#48183,Irene,kallisto,limma-voom
contig#43114,Irene,kallisto,limma-voom
contig#20746,Irene,kallisto,limma-voom
contig#22638,Irene,kallisto,limma-voom
contig#36966,Irene,kallisto,limma-voom
contig#51964,Irene,kallisto,limma-voom
contig#3790,Irene,kallisto,limma-voom
contig#19972,Irene,kallisto,limma-voom
contig#15362,Irene,kallisto,limma-voom
contig#10625,Irene,kallisto,limma-voom
contig#9502,Irene,kallisto,limma-voom
contig#5897,Irene,kallisto,limma-voom
contig#1023,Jordan,bowtie2,limma-voom
contig#924,Jordan,bowtie2,limma-voom
contig#1143,Jordan,bowtie2,limma-voom
contig#969,Jordan,bowtie2,limma-voom
contig#1448,Jordan,bowtie2,limma-voom
contig#3156,Jordan,bowtie2,limma-voom
contig#960,Jordan,bowtie2,limma-voom
contig#927,Jordan,bowtie2,limma-voom
contig#1008,Jordan,bowtie2,limma-voom
contig#63,Jordan,bowtie2,limma-voom
contig#681,Jordan,bowtie2,limma-voom
contig#610,Jordan,bowtie2,limma-voom
contig#1360,Jordan,bowtie2,limma-voom
contig#148,Jordan,bowtie2,limma-voom
contig#520,Jordan,bowtie2,limma-voom
contig#113,Jordan,bowtie2,limma-voom
contig#5325,Jordan,bowtie2,limma-voom
contig#1948,Jordan,bowtie2,limma-voom
contig#2656,Jordan,bowtie2,limma-voom
contig#590,Jordan,bowtie2,limma-voom
contig#30258,Naomi,salmon,EdgeR
contig#18830,Naomi,salmon,EdgeR
contig#56938,Naomi,salmon,EdgeR
contig#11186,Naomi,salmon,EdgeR
contig#23665,Naomi,salmon,EdgeR
contig#26623,Naomi,salmon,EdgeR
contig#24502,Naomi,salmon,EdgeR
contig#22638,Naomi,salmon,EdgeR
contig#36748,Naomi,salmon,EdgeR
contig#38785,Naomi,salmon,EdgeR
contig#24428,Naomi,salmon,EdgeR
contig#9563,Naomi,salmon,EdgeR
contig#29424,Naomi,salmon,EdgeR
contig#46631,Naomi,salmon,EdgeR
contig#10302,Naomi,salmon,EdgeR
contig#23006,Naomi,salmon,EdgeR
contig#23350,Naomi,salmon,EdgeR
contig#53303,Naomi,salmon,EdgeR
contig#24659,Naomi,salmon,EdgeR
contig#48183,Naomi,salmon,EdgeR
contig#18830,Taylor,salmon,limma-voom
contig#30258,Taylor,salmon,limma-voom
contig#11186,Taylor,salmon,limma-voom
contig#24502,Taylor,salmon,limma-voom
